[2026-08-07 09:07:11.447] [INFO   ] [JuggManagerCreator] Start Init Jugg by embedded on /Users/radar/Downloads/gitlab127001/bayshier
[2026-08-07 09:07:11.456] [FINE   ] [JuggServerChooser] Check server rule: ServerRule(url=http://wormchen-any1.devcloud.woa.com:12305, checkReachableHost=wormchen-any1.devcloud.woa.com)
[2026-08-07 09:07:11.456] [FINE   ] [DeployHistoryManager] checkProjectDirChanged, historyProjectDir: /Users/radar/Downloads/gitlab127001/bayshier, realProjectDir: /Users/radar/Downloads/gitlab127001/bayshier
[2026-08-07 09:07:11.456] [FINE   ] [DeployHistoryManager] Project dir is not changed, continue to recover from deploy history later
[2026-08-07 09:07:11.457] [INFO   ] [JuggManager] Start jugg finished.
[2026-08-07 09:07:11.457] [FINE   ] [JuggManager] Checking updates...
[2026-08-07 09:07:11.457] [FINE   ] [JuggManager] job <Init Jugg> finished, cost 3ms
[2026-08-07 09:07:11.457] [FINE   ] [JuggManager] JuggDeploymentService.preInit, cost 0ms
[2026-08-07 09:07:11.508] [FINE   ] [JuggServer] check update response: [200] {"latestVersion":"3.2.2-release","isNeedUpgrade":false,"downloadUrl":"https://jugg.sickworm.com/download_page","templateList":[],"notification":null,"customConfigJson":{"servers":null,"buildFileList":[],"buildFileRules":[],"dontFilterIgnoredFileRules":[],"moduleCustomConfigs":[],"customCompilers":null}}
[2026-08-07 09:07:11.509] [FINE   ] [CheckUpdateHandler] Check update result: VersionData(latestVersion=3.2.2-release, isNeedUpgrade=false, downloadUrl=https://jugg.sickworm.com/download_page, templateList=[], notification=null, customConfigJson=ProjectCustomConfig(servers=null, buildFileList=[], buildFileRules=[], dontFilterIgnoredFileRules=[], moduleCustomConfigs=[], customCompilers=null, embeddedApksSearchRules=null))
[2026-08-07 09:07:11.510] [FINE   ] [CustomConfigManager] No need to update default custom config.
[2026-08-07 09:07:11.510] [FINE   ] [JuggHotUpdateDownloader] notifyHotUpdateIfNeeded false
[2026-08-07 09:07:11.510] [FINE   ] [JuggHotUpdateDownloader] notifyInstallUpdateIfNeeded false
[2026-08-07 09:07:11.523] [FINE   ] [JuggManager] job <Init project info> waiting for TaskRunnerManager lock, thread=ApplicationImpl pooled thread 6
[2026-08-07 09:07:11.523] [FINE   ] [JuggManager] job <Init project info> acquired TaskRunnerManager lock, waitCost=0ms
[2026-08-07 09:07:11.523] [FINE   ] [JuggManager] job <Init project info> start
[2026-08-07 09:07:11.524] [FINE   ] [JuggManager] Start recover deploy context
[2026-08-07 09:07:11.529] [FINE   ] [DeployHistoryManager] tryGetContextRecoverInfoFromDb recover feature is available
[2026-08-07 09:07:11.529] [FINE   ] [DeployHistoryManager] getChangedFilesSinceLastFullCompiled isOnInit true
[2026-08-07 09:07:11.534] [INFO   ] [DeployHistoryManager] Project has not been commit yet, fullCompileGitCommitHash is null, need full compile first.
[2026-08-07 09:07:11.534] [FINE   ] [DeployHistoryManager] No compile context db found
[2026-08-07 09:07:11.534] [FINE   ] [DeployHistoryManager] tryGetContextRecoverInfoFromDb, changedFiles: null, cost: 5ms; compileContextInfo: null, cost: 0ms; deployedFiles: null,  cost: 0ms.
[2026-08-07 09:07:11.534] [FINE   ] [DeployHistoryManager] getChangedFilesSinceLastFullCompiled failed, return null
[2026-08-07 09:07:11.534] [FINE   ] [JuggManager] Can not recover from deploy history, please run gradle compile first
[2026-08-07 09:07:11.534] [FINE   ] [JuggManager] job <Init project info> finished, cost 11ms
[2026-08-07 09:07:13.599] [FINE   ] [McpLocalServer] start: Server is already running
[2026-08-07 09:07:16.018] [FINE   ] [McpLocalServer] start: Server is already running
[2026-08-07 09:07:16.454] [FINE   ] [JuggServerChooser] wormchen-any1.devcloud.woa.com is not reachable
[2026-08-07 09:07:16.454] [FINE   ] [JuggServerChooser] Check server rule: ServerRule(url=http://sickworm.com:12305, checkReachableHost=null)
[2026-08-07 09:07:16.454] [FINE   ] [JuggServerChooser] Choose server http://sickworm.com:12305 for no check condition.
[2026-08-07 09:07:16.454] [FINE   ] [JuggServerChooser] No need update server, still use http://sickworm.com:12305
[2026-08-07 09:07:16.457] [FINE   ] [JuggServerChooser] wormchen-any1.devcloud.woa.com is not reachable
[2026-08-07 09:07:16.458] [FINE   ] [JuggServerChooser] Check server rule: ServerRule(url=http://sickworm.com:12305, checkReachableHost=null)
[2026-08-07 09:07:16.458] [FINE   ] [JuggServerChooser] Choose server http://sickworm.com:12305 for no check condition.
[2026-08-07 09:07:16.458] [FINE   ] [JuggServerChooser] No need update server, still use http://sickworm.com:12305
[2026-08-07 09:07:20.738] [FINE   ] [McpLocalServer] start: Server is already running
[2026-08-07 09:07:21.463] [FINE   ] [JuggManager] background job <Auto update Jugg CLI> start
[2026-08-07 09:07:21.463] [FINE   ] [JuggCliAutoUpdater] Already auto-update check
[2026-08-07 09:07:21.463] [FINE   ] [JuggManager] background job <Auto update Jugg CLI> finished, cost 0ms
[2026-08-07 09:08:09.314] [INFO   ] [JuggManagerCreator] Release Jugg on /Users/radar/Downloads/gitlab127001/bayshier
[2026-08-07 09:08:09.314] [FINE   ] [JuggManager] project /Users/radar/Downloads/gitlab127001/bayshier dispose
